Meldedatum,Deutschland,Schleswig-Holstein,Hamburg,Niedersachsen,Bremen,Nordrhein-Westfalen,Hessen,Rheinland-Pfalz,Baden-Württemberg,Bayern,Saarland,Berlin,Brandenburg,Mecklenburg-Vorpommern,Sachsen,Sachsen-Anhalt,Thüringen
2020-01-28,2,,,,,,,,,2.0,,,,,,,
2020-01-29,2,,,,,,,,,2.0,,,,,,,
2020-01-31,3,,,,,,,,,3.0,,,,,,,
2020-02-03,1,,,,,,,,,1.0,,,,,,,
2020-02-04,4,,,1.0,,,,,,3.0,,,,,,,
2020-02-06,1,,,,,,,,,1.0,,,,,,,
2020-02-07,1,,,,,,,,,1.0,,,,,,,
2020-02-11,2,,,,,,,,,2.0,,,,,,,
2020-02-12,2,,,,,1.0,,,,1.0,,,,,,,
2020-02-20,1,,,,,1.0,,,,,,,,,,,
2020-02-22,1,,,,,1.0,,,,,,,,,,,
2020-02-24,1,,,,,,,,1.0,,,,,,,,
2020-02-25,2,,,,,,,,2.0,,,,,,,,
2020-02-26,7,,,,,3.0,,,4.0,,,,,,,,
2020-02-27,23,,,,,19.0,,,3.0,1.0,,,,,,,
2020-02-28,47,1.0,1.0,,,35.0,1.0,1.0,6.0,2.0,,,,,,,
2020-02-29,22,1.0,1.0,,,15.0,,1.0,2.0,2.0,,,,,,,
2020-03-01,36,,1.0,1.0,1.0,23.0,4.0,,1.0,4.0,,,1.0,,,,
2020-03-02,41,2.0,,2.0,1.0,15.0,4.0,,10.0,6.0,,,,,1.0,,
2020-03-03,86,1.0,3.0,6.0,2.0,30.0,4.0,1.0,24.0,6.0,,6.0,,2.0,,,1.0
2020-03-04,156,,3.0,4.0,,90.0,2.0,4.0,38.0,10.0,,3.0,,2.0,,,
2020-03-05,185,1.0,5.0,6.0,,97.0,6.0,1.0,36.0,19.0,,10.0,3.0,1.0,,,
2020-03-06,186,2.0,3.0,7.0,,63.0,1.0,2.0,50.0,51.0,,5.0,,,2.0,,
2020-03-07,140,,4.0,8.0,,67.0,4.0,2.0,31.0,20.0,,1.0,,,2.0,,1.0
2020-03-08,101,1.0,5.0,4.0,,26.0,,3.0,19.0,20.0,1.0,11.0,4.0,2.0,5.0,,
2020-03-09,345,3.0,20.0,14.0,7.0,97.0,20.0,6.0,52.0,86.0,5.0,22.0,4.0,4.0,5.0,,
2020-03-10,600,7.0,30.0,35.0,11.0,173.0,16.0,17.0,118.0,111.0,2.0,34.0,9.0,1.0,21.0,6.0,9.0
2020-03-11,753,19.0,29.0,63.0,11.0,200.0,37.0,29.0,146.0,119.0,10.0,42.0,8.0,8.0,16.0,15.0,1.0
2020-03-12,990,18.0,42.0,69.0,7.0,281.0,37.0,64.0,188.0,137.0,13.0,47.0,25.0,9.0,28.0,14.0,11.0
2020-03-13,1446,27.0,38.0,89.0,9.0,418.0,78.0,58.0,314.0,252.0,17.0,59.0,21.0,9.0,36.0,11.0,10.0
2020-03-14,1302,24.0,77.0,77.0,3.0,322.0,82.0,51.0,326.0,230.0,12.0,29.0,14.0,1.0,34.0,2.0,18.0
2020-03-15,980,21.0,80.0,68.0,3.0,241.0,24.0,95.0,182.0,169.0,18.0,26.0,21.0,1.0,30.0,,1.0
2020-03-16,2045,29.0,80.0,156.0,1.0,610.0,126.0,125.0,431.0,270.0,24.0,63.0,20.0,14.0,43.0,35.0,18.0
2020-03-17,3047,46.0,133.0,176.0,12.0,911.0,168.0,168.0,600.0,474.0,24.0,93.0,65.0,31.0,86.0,29.0,31.0
2020-03-18,3614,53.0,134.0,277.0,10.0,717.0,224.0,158.0,802.0,753.0,44.0,146.0,47.0,43.0,131.0,38.0,37.0
2020-03-19,4076,60.0,185.0,271.0,40.0,1139.0,203.0,135.0,654.0,823.0,45.0,180.0,55.0,34.0,155.0,43.0,54.0
2020-03-20,4049,78.0,145.0,267.0,24.0,875.0,212.0,181.0,847.0,863.0,37.0,170.0,64.0,16.0,143.0,51.0,76.0
2020-03-21,3356,45.0,107.0,180.0,22.0,690.0,135.0,115.0,565.0,1110.0,39.0,128.0,24.0,11.0,129.0,18.0,38.0
2020-03-22,2273,34.0,150.0,109.0,4.0,436.0,59.0,142.0,549.0,559.0,47.0,68.0,22.0,1.0,52.0,14.0,27.0
2020-03-23,3728,94.0,133.0,242.0,12.0,880.0,277.0,196.0,649.0,721.0,59.0,159.0,53.0,13.0,122.0,66.0,52.0
2020-03-24,4883,100.0,207.0,294.0,19.0,796.0,235.0,205.0,1190.0,1217.0,33.0,200.0,56.0,37.0,160.0,62.0,72.0
2020-03-25,5689,87.0,163.0,378.0,11.0,1038.0,247.0,171.0,1188.0,1681.0,49.0,245.0,97.0,24.0,180.0,51.0,79.0
2020-03-26,5915,96.0,170.0,374.0,31.0,1047.0,301.0,216.0,1220.0,1703.0,71.0,286.0,74.0,24.0,169.0,58.0,75.0
2020-03-27,5994,117.0,141.0,410.0,20.0,1101.0,308.0,271.0,1252.0,1644.0,66.0,205.0,79.0,42.0,187.0,78.0,73.0
2020-03-28,4739,82.0,145.0,348.0,25.0,752.0,185.0,166.0,1010.0,1421.0,70.0,197.0,44.0,21.0,163.0,42.0,68.0
2020-03-29,3088,43.0,115.0,177.0,1.0,633.0,140.0,142.0,661.0,863.0,78.0,87.0,27.0,11.0,71.0,19.0,20.0
2020-03-30,4124,78.0,70.0,314.0,8.0,770.0,183.0,143.0,932.0,1038.0,68.0,167.0,95.0,13.0,138.0,72.0,35.0
2020-03-31,6060,104.0,159.0,359.0,17.0,1058.0,254.0,200.0,1229.0,1843.0,131.0,213.0,129.0,50.0,180.0,55.0,79.0
